hour,wind_electricity_kW,wind_electricity_year24_degraded_kW,solar_electricity_kW,solar_electricity_year24_degraded_kW,battery_net_power_kW,battery_electricity_out_kW,battery_soc_fraction,curtailment_kW
248,0.0,,-0.0,,0.0,-0.0,0.1,0.0
249,0.0,,5673.292638237986,,5673.292638237986,-0.0,0.1,0.0
250,0.0,,56345.05009396839,,20000.0,-4899.999999999999,0.345,16345.050093968392
251,0.0,,99609.6965592045,,20000.0,-4900.0,0.59,59609.6965592045
252,0.0,,135680.85921570138,,20000.0,-4900.0,0.835,95680.85921570138
253,0.0,,128336.61266365618,,20000.0,-3300.000000000001,1.0,94867.22490855414
254,0.0,,96202.57744597083,,20000.0,-0.0,1.0,76202.57744597083
255,0.0,,62633.37242988856,,20000.0,-0.0,1.0,42633.37242988856
256,0.0,,6254.270439274092,,20000.0,3506.563663450486,0.8246718168274757,0.0
257,0.0,,0.0,,20000.0,5102.040816326532,0.5695697760111491,0.0
258,0.0,,0.0,,20000.0,5102.040816326531,0.3144677351948226,0.0
259,0.0,,0.0,,16814.27043927409,4289.354703896452,0.1,0.0
260,0.0,,0.0,,0.0,-0.0,0.1,0.0
261,0.0,,0.0,,0.0,-0.0,0.1,0.0
262,0.0,,0.0,,0.0,-0.0,0.1,0.0
263,0.0,,0.0,,0.0,-0.0,0.1,0.0
264,0.0,,0.0,,0.0,-0.0,0.1,0.0
265,0.0,,0.0,,0.0,-0.0,0.1,0.0
266,15126.765201658265,,0.0,,15126.765201658265,-0.0,0.1,0.0
267,16008.977348542026,,0.0,,16008.977348542026,-0.0,0.1,0.0
268,10093.96040923927,,0.0,,10093.96040923927,-0.0,0.1,0.0
269,15381.53646251081,,0.0,,15381.53646251081,-0.0,0.1,0.0
270,23159.583852330332,,0.0,,20000.0,-774.098043820931,0.13870490219104656,0.0
271,36930.44532232207,,0.0,,20000.0,-4147.959103968906,0.34610285738949187,0.0
272,60314.15660444527,,-0.0,,20000.0,-4900.0,0.5911028573894919,20314.15660444527
273,77079.5547864298,,2346.352727613893,,20000.0,-4900.0,0.8361028573894919,39425.90751404369
274,78831.92158774222,,13988.356335050723,,20000.0,-3277.942852210163,1.0,59440.919342343295
275,95028.69183628056,,21205.653165034564,,20000.0,-0.0,1.0,96234.34500131512
276,123383.22571274107,,31914.946647761557,,20000.0,-0.0,1.0,135298.17236050262
277,167170.75105305415,,29866.160387641452,,20000.0,-0.0,1.0,177036.9114406956
278,193346.93948684214,,36702.548033850304,,20000.0,-0.0,1.0,210049.48752069243
279,179045.16877531007,,42686.84056016942,,20000.0,-0.0,1.0,201732.0093354795
280,157406.92901013835,,20275.544524116674,,20000.0,-0.0,1.0,157682.47353425503
281,149844.57958807083,,0.0,,20000.0,-0.0,1.0,129844.57958807083
282,143505.52865641075,,0.0,,20000.0,-0.0,1.0,123505.52865641075
283,127430.58934250523,,0.0,,20000.0,-0.0,1.0,107430.58934250523
284,101641.01285582646,,0.0,,20000.0,-0.0,1.0,81641.01285582646
285,75035.4973038112,,0.0,,20000.0,-0.0,1.0,55035.49730381119
286,55242.65981832727,,0.0,,20000.0,-0.0,1.0,35242.65981832727
287,48438.084207386135,,0.0,,20000.0,-0.0,1.0,28438.084207386135
288,44745.15490352995,,0.0,,20000.0,-0.0,1.0,24745.154903529947
289,49859.737764873564,,0.0,,20000.0,-0.0,1.0,29859.737764873564
290,65124.529652704754,,0.0,,20000.0,-0.0,1.0,45124.529652704754
291,58044.35218718581,,0.0,,20000.0,-0.0,1.0,38044.35218718581
292,40390.01849118167,,0.0,,20000.0,-0.0,1.0,20390.01849118167
293,43905.48719531356,,0.0,,20000.0,-0.0,1.0,23905.48719531356
294,56816.548264405494,,0.0,,20000.0,-0.0,1.0,36816.548264405494
295,57752.0386853883,,0.0,,20000.0,-0.0,1.0,37752.0386853883
296,50613.547782445356,,-0.0,,20000.0,-0.0,1.0,30613.547782445356
297,55324.63993714365,,2062.1680539675212,,20000.0,-0.0,1.0,37386.80799111117
298,76559.64993871923,,23214.06084287862,,20000.0,-0.0,1.0,79773.71078159785
299,55772.87651901351,,42320.26666610605,,20000.0,-0.0,1.0,78093.14318511955
300,40129.62586946104,,76342.69224956207,,20000.0,-0.0,1.0,96472.31811902311
301,35346.11100642643,,88943.4380258397,,20000.0,-0.0,1.0,104289.54903226614
302,31852.56283012645,,87247.8307620881,,20000.0,-0.0,1.0,99100.39359221455
303,30686.798251030974,,90327.133120086,,20000.0,-0.0,1.0,101013.93137111698
304,43300.98047864237,,48830.391826329476,,20000.0,-0.0,1.0,72131.37230497185
305,64505.15432755752,,0.0,,20000.0,-0.0,1.0,44505.15432755752
306,120355.11702716688,,0.0,,20000.0,-0.0,1.0,100355.11702716688
